CPU_type,CPU_cores,OS,RAM_size,RAM_type,SSD_size,SSD,Drive_size,MRP
Intel,2.0,Windows,8,DDR4,256,1,256,36990.0
Intel,2.0,Windows,8,DDR4,512,1,512,39990.0
Intel,6.0,Windows,32,DDR4,1000,1,1000,345390.0
Intel,6.0,Windows,16,DDR4,512,1,512,105822.0
Intel,4.0,Windows,8,DDR4,512,1,512,39990.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,196990.0
Intel,2.0,Chrome,4,DDR4,0,0,128,28490.0
Intel,4.0,Windows,16,DDR4,512,1,512,66990.0
Intel,4.0,Windows,8,DDR4,512,1,512,86999.0
Intel,2.0,Windows,8,DDR4,256,1,256,36990.0
AMD,4.0,Windows,8,DDR4,512,1,512,38705.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,85990.0
Intel,2.0,Windows,4,DDR4,256,1,256,23250.0
Intel,2.0,Windows,8,DDR4,256,1,256,42390.0
AMD,2.0,Windows,8,DDR4,512,1,512,35590.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,150990.0
Intel,4.0,Windows,8,DDR4,512,1,512,58990.0
Intel,6.0,Windows,16,DDR4,1000,1,1000,110990.0
Intel,4.0,Windows,8,DDR4,128,1,1128,74590.0
AMD,6.0,Windows,8,DDR4,512,1,512,71990.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,194990.0
AMD,6.0,Windows,8,DDR4,512,1,512,44990.0
Intel,4.0,Windows,16,DDR4,512,1,512,84990.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,119990.0
Intel,2.0,Windows,8,DDR4,256,1,256,36990.0
Intel,2.0,Windows,8,DDR4,512,1,512,39990.0
Intel,6.0,Windows,32,DDR4,1000,1,1000,214990.0
Intel,2.0,Windows,8,DDR4,512,1,512,48790.0
AMD,8.0,Windows,16,DDR4,512,1,512,76000.0
AMD,8.0,Windows,32,DDR4,1000,1,1000,224990.0
Intel,4.0,Windows,8,DDR4,512,1,512,39990.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,196990.0
Intel,2.0,Windows,8,DDR4,512,1,512,49990.0
Intel,6.0,Windows,16,DDR5,512,1,512,164990.0
AMD,4.0,Windows,8,DDR4,512,1,512,38705.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,85990.0
AMD,2.0,Windows,8,DDR4,256,1,256,31490.0
Intel,2.0,Windows,8,DDR4,512,1,512,48077.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,154990.0
Intel,6.0,Windows,32,DDR4,1000,1,1000,224990.0
AMD,2.0,Windows,8,DDR4,512,1,512,35590.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,150990.0
Intel,4.0,Windows,8,DDR4,0,0,1000,44990.0
Intel,4.0,Windows,8,DDR4,512,1,512,65990.0
AMD,8.0,Windows,8,DDR4,512,1,512,73490.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,194990.0
Intel,2.0,Windows,8,DDR4,0,0,1000,31990.0
Intel,2.0,Windows,8,DDR4,256,1,256,38980.0
AMD,6.0,Windows,8,DDR4,512,1,512,68990.0
Intel,2.0,Windows,8,DDR4,256,1,256,43090.0
Intel,2.0,Windows,8,DDR4,512,1,512,39990.0
Intel,4.0,Windows,8,DDR4,512,1,512,39990.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,154990.0
Intel,4.0,Windows,8,DDR4,512,1,512,65990.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,196990.0
AMD,4.0,Windows,8,DDR4,512,1,512,38705.0
Intel,2.0,Windows,8,DDR4,512,1,512,49348.0
Intel,6.0,Windows,16,DDR5,512,1,512,221774.0
AMD,6.0,Windows,8,DDR4,512,1,512,73990.0
AMD,8.0,Windows,16,DDR4,512,1,512,77990.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,85990.0
AMD,2.0,Windows,8,DDR4,512,1,512,35590.0
Intel,6.0,Windows,16,DDR4,1000,1,1000,214790.0
Intel,6.0,Windows,16,DDR4,512,1,512,199990.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,150990.0
Intel,2.0,Windows,8,DDR4,256,1,256,36990.0
Intel,2.0,Windows,8,DDR4,512,1,512,48077.0
AMD,6.0,Windows,8,DDR4,512,1,512,52414.0
Intel,6.0,Windows,16,DDR5,1000,1,1000,179990.0
Intel,2.0,Chrome,4,DDR4,0,0,64,25990.0
Intel,2.0,Windows,8,DDR4,256,1,256,36990.0
Intel,2.0,Windows,8,DDR4,512,1,512,39990.0
Intel,4.0,Windows,16,DDR4,512,1,512,80615.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,155990.0
Intel,4.0,Windows,8,DDR4,512,1,512,39990.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,196990.0
Intel,6.0,Windows,16,DDR4,512,1,512,49990.0
Intel,6.0,Windows,16,DDR4,1000,1,1000,157990.0
Intel,4.0,Windows,16,DDR5,512,1,512,92990.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,171990.0
AMD,4.0,Windows,8,DDR4,512,1,512,38705.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,85990.0
Intel,4.0,Windows,8,DDR4,0,0,1000,44990.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,151990.0
AMD,2.0,Windows,8,DDR4,512,1,512,35590.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,150990.0
Intel,6.0,Windows,16,DDR4,2000,1,2000,233990.0
Intel,4.0,Windows,16,DDR5,512,1,512,76590.0
AMD,8.0,Windows,16,DDR4,512,1,512,90000.0
Intel,2.0,Chrome,4,DDR4,0,0,64,23490.0
AMD,8.0,Windows,8,DDR4,512,1,512,73490.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,194990.0
Intel,6.0,Windows,16,DDR5,512,1,512,125990.0
Intel,4.0,Windows,8,DDR4,256,1,1256,50990.0
